A ,B,cap A to B,cap B to A
DK-West,DK-East,590,600
DK-West,NOs,1632,1632
DK-West,SE3,715,715
DK-West,DELU,2500,2500
DK-West,DELU,1000,1000
DK-West,Holland,700,700
DK-West,GB,1400,1400
DK-East,SE4,0,0
DK-East,SE4,0,0
DK-East,SE4,1038,900
DK-East,SE4,462,400
Bornholm,SE4,70,70
DK-East,DELU,600,585
DK-East,KriegersFlak,600,600
KriegersFlak,DELU,400,400
EnergyIsland,DK-West,0,0
EnergyIsland,Belgium,0,0
Bornholm,DK-East,0,0
Bornholm,DELU,0,0
NOm,NOn,1200,1200
NOm,NOs,1375,1375
SE1,SE2,3300,3300
SE2,SE3,8100,8100
SE3,SE4,5400,2000
SE3,SE4,800,800
NOm,SE2,600,1000
NOn,SE1,700,473
NOn,SE2,158,263
NOs,SE3,2145,2095
NOn,Finland,100,100
NOs,DELU,1400,1400
NOs,Holland,700,700
NOs,GB,2800,2800
SE1,Finland,2000,2000
SE3,Finland,1200,1200
SE4,DELU,1315,1315
SE4,EELVLT,700,700
SE4,Poland,600,600
Finland,EELVLT,1016,1016
DELU,Holland,5000,5000
DELU,Austria,7500,7500
DELU,Poland,2000,3000
DELU,GB,1400,1400
DELU,France,5180,5180
DELU,Schweiz,3300,4600
DELU,Belgium,380,380
DELU,Belgium,1000,1000
DELU,CZSK,2000,2600
CZSK,Poland,1990,1790
Austria,CZSK,900,900
Austria,Hungary,800,800
Austria,Italy,1355,1150
Holland,GB,1000,1000
Holland,Belgium,3400,3400
Belgium,France,2800,4300
Belgium,GB,1000,1000
GB,France,5400,5400
France,ESPT,5000,5000
France,Schweiz,3200,1300
France,Italy,4350,2160
Austria,Schweiz,1700,1700
Schweiz,Italy,3850,1800
Schweiz,Italy,1000,1000
EELVLT,Poland,700,700
CZSK,Hungary,2600,1800
